# 2Theta  Intensity_Obs  Intensity_Fit  Residual_ObsMinusFit
11.550000 0.008693 0.001684 0.007009
11.560000 0.008262 0.001740 0.006522
11.570000 0.007833 0.001806 0.006027
11.580000 0.018287 0.001881 0.016406
11.590000 0.014811 0.001969 0.012843
11.600000 0.001758 0.002070 -0.000312
11.610000 0.002636 0.002188 0.000448
11.620000 0.009175 0.002327 0.006848
11.630000 0.004829 0.002492 0.002337
11.640000 0.007451 0.002693 0.004757
11.650000 0.003542 0.002948 0.000594
11.660000 0.010953 0.003287 0.007666
11.670000 0.007915 0.003771 0.004144
11.680000 0.017504 0.004507 0.012997
11.690000 0.025786 0.005673 0.020113
11.700000 0.015784 0.007548 0.008236
11.710000 0.022326 0.010526 0.011800
11.720000 0.034528 0.015103 0.019426
11.730000 0.044554 0.021811 0.022743
11.740000 0.042390 0.031094 0.011296
11.750000 0.051110 0.043126 0.007984
11.760000 0.070279 0.057618 0.012661
11.770000 0.084224 0.073664 0.010560
11.780000 0.089898 0.089669 0.000228
11.790000 0.105150 0.103424 0.001726
11.800000 0.096457 0.112434 -0.015978
11.810000 0.095166 0.114697 -0.019531
11.820000 0.090827 0.109653 -0.018825
11.830000 0.075170 0.098511 -0.023340
11.840000 0.078233 0.083582 -0.005349
11.850000 0.062141 0.067317 -0.005175
11.860000 0.038648 0.051707 -0.013059
11.870000 0.033005 0.038081 -0.005076
11.880000 0.024750 0.027094 -0.002344
11.890000 0.022154 0.018833 0.003322
11.900000 0.007369 0.012996 -0.005627
11.910000 0.007386 0.009088 -0.001702
11.920000 0.003050 0.006577 -0.003527
11.930000 0.000000 0.005004 -0.005004
11.940000 0.000038 0.004018 -0.003981
11.950000 0.000000 0.003384 -0.003384
11.960000 0.000000 0.002952 -0.002952
11.970000 0.010976 0.002637 0.008339
11.980000 0.004899 0.002392 0.002506
11.990000 0.013189 0.002193 0.010996
12.000000 0.000147 0.002025 -0.001878
12.010000 0.000000 0.001880 -0.001880
12.020000 0.000000 0.001755 -0.001755
12.030000 0.003686 0.001645 0.002041
12.040000 0.004140 0.001547 0.002593
12.050000 0.004159 0.001461 0.002698
12.060000 0.009837 0.001384 0.008454
12.070000 0.002455 0.001315 0.001141
12.080000 0.000000 0.001253 -0.001253
12.090000 0.007718 0.001196 0.006521
12.100000 0.002948 0.001146 0.001802
12.110000 0.000000 0.001099 -0.001099
12.120000 0.009081 0.001057 0.008024
12.130000 0.000000 0.001018 -0.001018
12.140000 0.000000 0.000983 -0.000983
12.150000 0.000000 0.000950 -0.000950
12.160000 0.000000 0.000920 -0.000920
12.170000 0.005690 0.000892 0.004798
12.180000 0.003966 0.000866 0.003100
12.190000 0.000000 0.000842 -0.000842
12.200000 0.000000 0.000820 -0.000820
12.210000 0.000000 0.000799 -0.000799
12.220000 0.001855 0.000780 0.001075
12.230000 0.012754 0.000762 0.011993
12.240000 0.000000 0.000745 -0.000745
12.250000 0.000000 0.000729 -0.000729
12.260000 0.011492 0.000713 0.010779
12.270000 0.000000 0.000699 -0.000699
12.280000 0.009344 0.000686 0.008658
12.290000 0.000000 0.000673 -0.000673
12.300000 0.000000 0.000661 -0.000661
12.310000 0.000000 0.000650 -0.000650
12.320000 0.000000 0.000639 -0.000639
12.330000 0.000000 0.000629 -0.000629
12.340000 0.018566 0.000620 0.017947
12.350000 0.009437 0.000611 0.008826
12.360000 0.006837 0.000602 0.006235
12.370000 0.001625 0.000594 0.001031
12.380000 0.012956 0.000586 0.012370
12.390000 0.015579 0.000578 0.015001
12.400000 0.010801 0.000571 0.010230
12.410000 0.006894 0.000564 0.006329
12.420000 0.007774 0.000558 0.007216
12.430000 0.008654 0.000552 0.008102
12.440000 0.000827 0.000546 0.000281
12.450000 0.000000 0.000540 -0.000540
12.460000 0.001713 0.000535 0.001178
12.470000 0.000000 0.000530 -0.000530
12.480000 0.000000 0.000525 -0.000525
12.490000 0.001730 0.000520 0.001210
12.500000 0.002606 0.000516 0.002090
12.510000 0.000000 0.000511 -0.000511
12.520000 0.007402 0.000507 0.006895
12.530000 0.005664 0.000503 0.005161
12.540000 0.002184 0.000500 0.001684
12.550000 0.000000 0.000496 -0.000496
12.560000 0.000000 0.000493 -0.000493
12.570000 0.007850 0.000489 0.007361
12.580000 0.003934 0.000486 0.003448
12.590000 0.000000 0.000483 -0.000483
12.600000 0.007856 0.000480 0.007376
12.610000 0.005681 0.000478 0.005204
12.620000 0.010907 0.000475 0.010432
12.630000 0.007426 0.000473 0.006954
12.640000 0.001333 0.000470 0.000863
12.650000 0.003076 0.000468 0.002608
12.660000 0.006561 0.000466 0.006095
12.670000 0.009175 0.000464 0.008711
12.680000 0.006129 0.000462 0.005667
12.690000 0.000000 0.000460 -0.000460
12.700000 0.009180 0.000459 0.008722
12.710000 0.000000 0.000457 -0.000457
12.720000 0.007443 0.000455 0.006987
12.730000 0.000000 0.000454 -0.000454
12.740000 0.000000 0.000453 -0.000453
12.750000 0.000000 0.000452 -0.000452
12.760000 0.000000 0.000450 -0.000450
12.770000 0.017030 0.000449 0.016581
12.780000 0.003536 0.000448 0.003088
12.790000 0.014423 0.000448 0.013975
12.800000 0.003105 0.000447 0.002658
12.810000 0.000000 0.000446 -0.000446
12.820000 0.012252 0.000446 0.011807
12.830000 0.001371 0.000445 0.000926
12.840000 0.006597 0.000445 0.006152
12.850000 0.000000 0.000444 -0.000444
12.860000 0.009649 0.000444 0.009205
12.870000 0.001380 0.000444 0.000936
12.880000 0.002253 0.000444 0.001810
12.890000 0.001385 0.000444 0.000942
12.900000 0.000952 0.000444 0.000509
12.910000 0.006179 0.000444 0.005736
12.920000 0.010535 0.000444 0.010091
12.930000 0.000525 0.000444 0.000081
12.940000 0.004446 0.000444 0.004001
12.950000 0.013156 0.000445 0.012711
12.960000 0.007935 0.000445 0.007489
12.970000 0.000000 0.000446 -0.000446
12.980000 0.004458 0.000447 0.004011
12.990000 0.004461 0.000447 0.004014
13.000000 0.012300 0.000448 0.011852
13.010000 0.004903 0.000449 0.004454
13.020000 0.000000 0.000450 -0.000450
13.030000 0.000000 0.000451 -0.000451
13.040000 0.000000 0.000452 -0.000452
13.050000 0.002304 0.000454 0.001851
13.060000 0.003614 0.000455 0.003159
13.070000 0.000570 0.000456 0.000114
13.080000 0.003621 0.000458 0.003164
13.090000 0.005802 0.000459 0.005343
13.100000 0.011465 0.000461 0.011004
13.110000 0.000000 0.000463 -0.000463
13.120000 0.002331 0.000465 0.001866
13.130000 0.005818 0.000467 0.005351
13.140000 0.007563 0.000469 0.007095
13.150000 0.015839 0.000471 0.015368
13.160000 0.000000 0.000473 -0.000473
13.170000 0.001917 0.000475 0.001441
13.180000 0.000000 0.000478 -0.000478
13.190000 0.003667 0.000480 0.003186
13.200000 0.000188 0.000483 -0.000295
13.210000 0.013689 0.000486 0.013203
13.220000 0.004551 0.000489 0.004062
13.230000 0.010215 0.000492 0.009724
13.240000 0.001948 0.000495 0.001453
13.250000 0.001518 0.000498 0.001020
13.260000 0.011971 0.000502 0.011469
13.270000 0.004140 0.000505 0.003635
13.280000 0.006757 0.000509 0.006248
13.290000 0.009809 0.000513 0.009297
13.300000 0.004590 0.000517 0.004073
13.310000 0.002854 0.000521 0.002333
13.320000 0.007212 0.000525 0.006687
13.330000 0.003735 0.000530 0.003205
13.340000 0.000000 0.000534 -0.000534
13.350000 0.006793 0.000539 0.006254
13.360000 0.000000 0.000544 -0.000544
13.370000 0.005062 0.000549 0.004513
13.380000 0.008550 0.000555 0.007995
13.390000 0.000284 0.000560 -0.000276
13.400000 0.000000 0.000566 -0.000566
13.410000 0.009873 0.000572 0.009300
13.420000 0.008572 0.000578 0.007994
13.430000 0.011625 0.000585 0.011040
13.440000 0.000000 0.000592 -0.000592
13.450000 0.000752 0.000599 0.000154
13.460000 0.011206 0.000606 0.010600
13.470000 0.003810 0.000613 0.003197
13.480000 0.011652 0.000621 0.011030
13.490000 0.009480 0.000629 0.008850
13.500000 0.012532 0.000638 0.011894
13.510000 0.000000 0.000647 -0.000647
13.520000 0.013847 0.000656 0.013191
13.530000 0.009061 0.000666 0.008396
13.540000 0.004275 0.000676 0.003600
13.550000 0.002536 0.000686 0.001850
13.560000 0.012116 0.000697 0.011419
13.570000 0.011246 0.000708 0.010538
13.580000 0.000363 0.000720 -0.000357
13.590000 0.000000 0.000733 -0.000733
13.600000 0.001668 0.000746 0.000922
13.610000 0.004278 0.000760 0.003519
13.620000 0.000793 0.000774 0.000019
13.630000 0.006014 0.000789 0.005225
13.640000 0.000000 0.000805 -0.000805
13.650000 0.000000 0.000822 -0.000822
13.660000 0.000000 0.000840 -0.000840
13.670000 0.003812 0.000860 0.002953
13.680000 0.004672 0.000880 0.003792
13.690000 0.007270 0.000902 0.006369
13.700000 0.000000 0.000925 -0.000925
13.710000 0.000000 0.000950 -0.000950
13.720000 0.000679 0.000978 -0.000299
13.730000 0.000000 0.001009 -0.001009
13.740000 0.006713 0.001044 0.005669
13.750000 0.001017 0.001087 -0.000070
13.760000 0.000000 0.001141 -0.001141
13.770000 0.000000 0.001216 -0.001216
13.780000 0.000000 0.001323 -0.001323
13.790000 0.004748 0.001481 0.003267
13.800000 0.000000 0.001711 -0.001711
13.810000 0.003330 0.002039 0.001291
13.820000 0.002836 0.002486 0.000350
13.830000 0.004081 0.003059 0.001022
13.840000 0.003584 0.003750 -0.000166
13.850000 0.000000 0.004517 -0.004517
13.860000 0.003893 0.005292 -0.001398
13.870000 0.006006 0.005972 0.000034
13.880000 0.001154 0.006446 -0.005292
13.890000 0.009361 0.006617 0.002744
13.900000 0.000000 0.006454 -0.006454
13.910000 0.004008 0.006007 -0.001998
13.920000 0.000000 0.005380 -0.005380
13.930000 0.003009 0.004687 -0.001678
13.940000 0.000000 0.004022 -0.004022
13.950000 0.000000 0.003448 -0.003448
13.960000 0.000000 0.002998 -0.002998
13.970000 0.014071 0.002678 0.011393
13.980000 0.007913 0.002475 0.005438
13.990000 0.005671 0.002368 0.003303
14.000000 0.004302 0.002332 0.001970
14.010000 0.000000 0.002347 -0.002347
14.020000 0.002435 0.002397 0.000037
14.030000 0.007158 0.002471 0.004687
14.040000 0.000000 0.002563 -0.002563
14.050000 0.005290 0.002670 0.002620
14.060000 0.000000 0.002791 -0.002791
14.070000 0.011695 0.002925 0.008770
14.080000 0.000000 0.003074 -0.003074
14.090000 0.000000 0.003238 -0.003238
14.100000 0.026312 0.003418 0.022894
14.110000 0.006657 0.003618 0.003038
14.120000 0.005727 0.003839 0.001887
14.130000 0.000000 0.004085 -0.004085
14.140000 0.016488 0.004357 0.012131
14.150000 0.010329 0.004661 0.005668
14.160000 0.008530 0.005001 0.003529
14.170000 0.014996 0.005382 0.009614
14.180000 0.013633 0.005812 0.007821
14.190000 0.023147 0.006299 0.016849
14.200000 0.028315 0.006852 0.021463
14.210000 0.022593 0.007486 0.015106
14.220000 0.030374 0.008219 0.022155
14.230000 0.033359 0.009076 0.024283
14.240000 0.027644 0.010099 0.017545
14.250000 0.052833 0.011365 0.041467
14.260000 0.044072 0.013012 0.031060
14.270000 0.066213 0.015296 0.050917
14.280000 0.057453 0.018681 0.038772
14.290000 0.094397 0.023955 0.070441
14.300000 0.100875 0.032367 0.068508
14.310000 0.120405 0.045726 0.074678
14.320000 0.139074 0.066387 0.072687
14.330000 0.169924 0.097011 0.072913
14.340000 0.199477 0.140033 0.059444
14.350000 0.255143 0.196848 0.058295
14.360000 0.318655 0.266837 0.051818
14.370000 0.384770 0.346503 0.038266
14.380000 0.407359 0.428956 -0.021597
14.390000 0.501772 0.504014 -0.002242
14.400000 0.558320 0.559452 -0.001132
14.410000 0.563923 0.584113 -0.020190
14.420000 0.584337 0.572376 0.011961
14.430000 0.530732 0.526982 0.003750
14.440000 0.430990 0.457597 -0.026607
14.450000 0.352571 0.376516 -0.023945
14.460000 0.281563 0.294879 -0.013316
14.470000 0.193566 0.220823 -0.027256
14.480000 0.132137 0.159040 -0.026902
14.490000 0.087677 0.111102 -0.023425
14.500000 0.074573 0.076234 -0.001661
14.510000 0.027936 0.052272 -0.024336
14.520000 0.028764 0.036560 -0.007796
14.530000 0.003896 0.026592 -0.022696
14.540000 0.011256 0.020351 -0.009096
14.550000 0.015122 0.016393 -0.001271
14.560000 0.008115 0.013777 -0.005662
14.570000 0.018512 0.011938 0.006574
14.580000 0.011942 0.010556 0.001386
14.590000 0.001443 0.009457 -0.008014
14.600000 0.000533 0.008547 -0.008014
14.610000 0.000000 0.007774 -0.007774
14.620000 0.004363 0.007108 -0.002745
14.630000 0.000000 0.006528 -0.006528
14.640000 0.001230 0.006019 -0.004790
14.650000 0.004665 0.005571 -0.000906
14.660000 0.000000 0.005173 -0.005173
14.670000 0.008934 0.004819 0.004115
14.680000 0.001062 0.004503 -0.003441
14.690000 0.002757 0.004219 -0.001462
14.700000 0.010558 0.003964 0.006594
14.710000 0.007466 0.003733 0.003732
14.720000 0.006561 0.003525 0.003036
14.730000 0.008258 0.003335 0.004923
14.740000 0.000000 0.003162 -0.003162
14.750000 0.006004 0.003004 0.002999
14.760000 0.007712 0.002860 0.004852
14.770000 0.000000 0.002727 -0.002727
14.780000 0.013297 0.002606 0.010691
14.790000 0.002806 0.002494 0.000313
14.800000 0.004081 0.002390 0.001690
14.810000 0.002734 0.002295 0.000439
14.820000 0.004880 0.002206 0.002673
14.830000 0.000921 0.002125 -0.001203
14.840000 0.007856 0.002049 0.005808
14.850000 0.009994 0.001978 0.008016
14.860000 0.000000 0.001912 -0.001912
14.870000 0.004702 0.001851 0.002850
14.880000 0.000000 0.001794 -0.001794
14.890000 0.005941 0.001741 0.004200
14.900000 0.006347 0.001691 0.004656
14.910000 0.006746 0.001645 0.005101
14.920000 0.004976 0.001602 0.003375
14.930000 0.000000 0.001561 -0.001561
14.940000 0.011008 0.001523 0.009484
14.950000 0.000000 0.001488 -0.001488
14.960000 0.002238 0.001455 0.000783
14.970000 0.003074 0.001424 0.001651
14.980000 0.005224 0.001395 0.003830
14.990000 0.000000 0.001368 -0.001368
15.000000 0.000000 0.001342 -0.001342
15.010000 0.012097 0.001319 0.010778
15.020000 0.004234 0.001296 0.002938
15.030000 0.000000 0.001276 -0.001276
15.040000 0.000000 0.001257 -0.001257
15.050000 0.006322 0.001239 0.005083
15.060000 0.000000 0.001222 -0.001222
15.070000 0.000000 0.001207 -0.001207
15.080000 0.000000 0.001193 -0.001193
15.090000 0.000115 0.001180 -0.001065
15.100000 0.013150 0.001168 0.011983
15.110000 0.012250 0.001157 0.011093
15.120000 0.000000 0.001147 -0.001147
15.130000 0.000000 0.001138 -0.001138
15.140000 0.000852 0.001130 -0.000277
15.150000 0.000000 0.001123 -0.001123
15.160000 0.006894 0.001117 0.005778
15.170000 0.010784 0.001111 0.009673
15.180000 0.002488 0.001107 0.001382
15.190000 0.005508 0.001103 0.004405
15.200000 0.002001 0.001101 0.000901
15.210000 0.008069 0.001099 0.006970
15.220000 0.000000 0.001098 -0.001098
15.230000 0.002359 0.001097 0.001261
15.240000 0.007123 0.001098 0.006025
15.250000 0.013192 0.001099 0.012093
15.260000 0.002719 0.001101 0.001617
15.270000 0.007482 0.001105 0.006377
15.280000 0.000056 0.001108 -0.001052
15.290000 0.000000 0.001113 -0.001113
15.300000 0.004360 0.001119 0.003241
15.310000 0.000000 0.001125 -0.001125
15.320000 0.000000 0.001133 -0.001133
15.330000 0.008638 0.001141 0.007496
15.340000 0.004259 0.001151 0.003108
15.350000 0.003362 0.001161 0.002201
15.360000 0.001158 0.001173 -0.000014
15.370000 0.002872 0.001185 0.001687
15.380000 0.004585 0.001199 0.003387
15.390000 0.000000 0.001214 -0.001214
15.400000 0.011925 0.001230 0.010695
15.410000 0.000000 0.001247 -0.001247
15.420000 0.000000 0.001266 -0.001266
15.430000 0.000000 0.001286 -0.001286
15.440000 0.000000 0.001307 -0.001307
15.450000 0.001724 0.001331 0.000394
15.460000 0.000000 0.001355 -0.001355
15.470000 0.000000 0.001382 -0.001382
15.480000 0.000000 0.001411 -0.001411
15.490000 0.000000 0.001442 -0.001442
15.500000 0.000000 0.001474 -0.001474
15.510000 0.000000 0.001510 -0.001510
15.520000 0.008342 0.001548 0.006794
15.530000 0.006981 0.001588 0.005393
15.540000 0.011715 0.001632 0.010083
15.550000 0.001210 0.001678 -0.000468
15.560000 0.002025 0.001729 0.000296
15.570000 0.000000 0.001783 -0.001783
15.580000 0.001912 0.001841 0.000071
15.590000 0.000000 0.001904 -0.001904
15.600000 0.000000 0.001971 -0.001971
15.610000 0.003048 0.002044 0.001004
15.620000 0.000000 0.002123 -0.002123
15.630000 0.008595 0.002209 0.006386
15.640000 0.003750 0.002302 0.001448
15.650000 0.000000 0.002403 -0.002403
15.660000 0.002767 0.002514 0.000254
15.670000 0.000000 0.002634 -0.002634
15.680000 0.000913 0.002766 -0.001853
15.690000 0.000000 0.002911 -0.002911
15.700000 0.000000 0.003071 -0.003071
15.710000 0.016419 0.003246 0.013172
15.720000 0.015493 0.003441 0.012052
15.730000 0.006295 0.003657 0.002638
15.740000 0.012335 0.003898 0.008437
15.750000 0.008797 0.004168 0.004629
15.760000 0.004825 0.004470 0.000355
15.770000 0.005204 0.004812 0.000393
15.780000 0.015600 0.005199 0.010401
15.790000 0.012932 0.005640 0.007292
15.800000 0.010267 0.006146 0.004121
15.810000 0.015435 0.006734 0.008701
15.820000 0.015383 0.007427 0.007957
15.830000 0.031000 0.008264 0.022736
15.840000 0.027901 0.009318 0.018583
15.850000 0.037859 0.010726 0.027133
15.860000 0.046515 0.012737 0.033778
15.870000 0.056038 0.015795 0.040242
15.880000 0.063388 0.020639 0.042750
15.890000 0.055932 0.028397 0.027535
15.900000 0.071991 0.040641 0.031349
15.910000 0.109376 0.059304 0.050073
15.920000 0.129354 0.086395 0.042958
15.930000 0.148019 0.123487 0.024533
15.940000 0.188023 0.171005 0.017018
15.950000 0.246742 0.227505 0.019237
15.960000 0.269768 0.289117 -0.019349
15.970000 0.355914 0.349359 0.006555
15.980000 0.405932 0.399516 0.006416
15.990000 0.438531 0.430146 0.008384
16.000000 0.423682 0.434270 -0.010588
16.010000 0.395331 0.410868 -0.015536
16.020000 0.356539 0.365473 -0.008934
16.030000 0.314258 0.307209 0.007048
16.040000 0.240202 0.245230 -0.005028
16.050000 0.159175 0.186744 -0.027569
16.060000 0.110806 0.136380 -0.025574
16.070000 0.081586 0.096246 -0.014660
16.080000 0.051502 0.066389 -0.014887
16.090000 0.032296 0.045495 -0.013198
16.100000 0.024852 0.031615 -0.006764
16.110000 0.014353 0.022756 -0.008402
16.120000 0.019099 0.017225 0.001874
16.130000 0.018614 0.013765 0.004849
16.140000 0.012477 0.011534 0.000943
16.150000 0.008945 0.010013 -0.001068
16.160000 0.014127 0.008905 0.005222
16.170000 0.008855 0.008048 0.000807
16.180000 0.000000 0.007356 -0.007356
16.190000 0.001365 0.006781 -0.005416
16.200000 0.009595 0.006297 0.003298
16.210000 0.005195 0.005887 -0.000692
16.220000 0.000000 0.005541 -0.005541
16.230000 0.006850 0.005248 0.001601
16.240000 0.017694 0.005005 0.012688
16.250000 0.009376 0.004807 0.004569
16.260000 0.012819 0.004654 0.008166
16.270000 0.009292 0.004547 0.004744
16.280000 0.004028 0.004497 -0.000469
16.290000 0.002242 0.004523 -0.002281
16.300000 0.006122 0.004665 0.001457
16.310000 0.008255 0.004990 0.003265
16.320000 0.000000 0.005603 -0.005603
16.330000 0.009044 0.006656 0.002388
16.340000 0.005959 0.008340 -0.002381
