# 2Theta  Intensity_Obs  Intensity_Fit
12.302252 0.158200 0.158008
12.313118 0.159374 0.157981
12.323985 0.159922 0.157955
12.334851 0.146614 0.157929
12.345718 0.150215 0.157903
12.356584 0.157104 0.157877
12.367451 0.158982 0.157851
12.378317 0.156791 0.157825
12.389184 0.155225 0.157799
12.400050 0.158200 0.157774
12.410916 0.146849 0.157749
12.421783 0.151781 0.157723
12.432649 0.152172 0.157698
12.443516 0.152564 0.157674
12.454382 0.154286 0.157649
12.465249 0.151076 0.157624
12.476115 0.149746 0.157600
12.486982 0.155851 0.157576
12.497848 0.163679 0.157552
12.508714 0.153425 0.157529
12.519581 0.158200 0.157506
12.530447 0.159530 0.157483
12.541314 0.152016 0.157461
12.552180 0.156712 0.157439
12.563047 0.159530 0.157418
12.573913 0.154207 0.157397
12.584779 0.149511 0.157377
12.595646 0.153973 0.157357
12.606512 0.159843 0.157339
12.617379 0.147789 0.157321
12.628245 0.153894 0.157304
12.639112 0.148571 0.157288
12.649978 0.160078 0.157273
12.660845 0.163131 0.157260
12.671711 0.156164 0.157247
12.682577 0.156791 0.157236
12.693444 0.146771 0.157227
12.704310 0.158748 0.157218
12.715177 0.157417 0.157211
12.726043 0.159765 0.157205
12.736910 0.154051 0.157200
12.747776 0.152564 0.157197
12.758643 0.152955 0.157194
12.769509 0.144971 0.157192
12.780375 0.146380 0.157190
12.791242 0.151155 0.157188
12.802108 0.153033 0.157186
12.812975 0.150137 0.157182
12.823841 0.153738 0.157176
12.834708 0.144814 0.157168
12.845574 0.151703 0.157156
12.856440 0.156634 0.157140
12.867307 0.153738 0.157120
12.878173 0.149354 0.157095
12.889040 0.154599 0.157065
12.899906 0.150372 0.157031
12.910773 0.149667 0.156994
12.921639 0.156869 0.156954
12.932506 0.148102 0.156911
12.943372 0.151546 0.156867
12.954238 0.150685 0.156822
12.965105 0.146380 0.156777
12.975971 0.152564 0.156732
12.986838 0.145832 0.156688
12.997704 0.149198 0.156644
13.008571 0.152329 0.156602
13.019437 0.147162 0.156560
13.030304 0.153112 0.156520
13.041170 0.146614 0.156482
13.052036 0.152642 0.156444
13.062903 0.153268 0.156408
13.073769 0.146849 0.156373
13.084636 0.153738 0.156340
13.095502 0.154364 0.156307
13.106369 0.147397 0.156276
13.117235 0.150607 0.156246
13.128101 0.147710 0.156216
13.138968 0.151155 0.156188
13.149834 0.149198 0.156160
13.160701 0.144736 0.156133
13.171567 0.151076 0.156107
13.182434 0.151624 0.156081
13.193300 0.150998 0.156056
13.204167 0.149589 0.156031
13.215033 0.149198 0.156007
13.225899 0.147006 0.155983
13.236766 0.146928 0.155960
13.247632 0.147241 0.155936
13.258499 0.146614 0.155913
13.269365 0.145597 0.155891
13.280232 0.147084 0.155868
13.291098 0.147319 0.155846
13.301965 0.150998 0.155824
13.312831 0.145049 0.155802
13.323697 0.145519 0.155780
13.334564 0.144736 0.155758
13.345430 0.146067 0.155737
13.356297 0.147945 0.155715
13.367163 0.146928 0.155694
13.378030 0.145519 0.155673
13.388896 0.147241 0.155652
13.399762 0.144579 0.155631
13.410629 0.140822 0.155610
13.421495 0.149276 0.155589
13.432362 0.152564 0.155569
13.443228 0.143405 0.155548
13.454095 0.144423 0.155528
13.464961 0.146536 0.155508
13.475828 0.145597 0.155487
13.486694 0.145597 0.155467
13.497560 0.139100 0.155447
13.508427 0.141526 0.155427
13.519293 0.144188 0.155408
