index,Rwp,step,frac,scale
39,18.8477681889094,粗调 (Stage 1),"[0.4738149344921112, 0.3871477246284485, 0.1390373855829239]","[0.3817894458770752, 0.3576258718967438, 0.3327377438545227]"
40,18.939277356866207,粗调 (Stage 1),"[0.4711991250514984, 0.3868434429168701, 0.14195747673511505]","[0.38868290185928345, 0.3648698031902313, 0.34365183115005493]"
41,19.85714319529696,粗调 (Stage 1),"[0.4431498944759369, 0.38513126969337463, 0.17171885073184967]","[0.4566184878349304, 0.44019901752471924, 0.4637977182865143]"
42,19.760568387115583,粗调 (Stage 1),"[0.44535860419273376, 0.38523003458976746, 0.16941136121749878]","[0.45128321647644043, 0.43409571051597595, 0.4537174105644226]"
43,19.773637005812876,粗调 (Stage 1),"[0.44493043422698975, 0.38783398270606995, 0.1672355979681015]","[0.44346192479133606, 0.42829880118370056, 0.44273051619529724]"
44,19.756060665653216,粗调 (Stage 1),"[0.44655418395996094, 0.38250604271888733, 0.17093978822231293]","[0.45799970626831055, 0.4388234615325928, 0.4624934792518616]"
45,18.99571870084467,粗调 (Stage 1),"[0.47868087887763977, 0.39283326268196106, 0.12848588824272156]","[0.34797897934913635, 0.32692641019821167, 0.2877506613731384]"
46,19.37274177266703,粗调 (Stage 1),"[0.4538619816303253, 0.38151201605796814, 0.16462600231170654]","[0.4473506212234497, 0.4250813126564026, 0.43942251801490784]"
47,18.770162922458333,粗调 (Stage 1),"[0.4814099967479706, 0.390219509601593, 0.12837053835391998]","[0.35415592789649963, 0.33064085245132446, 0.292528361082077]"
48,18.860117861498345,粗调 (Stage 1),"[0.4736405909061432, 0.3855222165584564, 0.1408371478319168]","[0.3877386450767517, 0.362519770860672, 0.3405223488807678]"
49,19.202311372376037,粗调 (Stage 1),"[0.5473577976226807, 0.3358224928379059, 0.11681973189115524]","[0.4143279194831848, 0.3621303141117096, 0.32173287868499756]"
50,18.867434753685792,粗调 (Stage 1),"[0.5366926789283752, 0.3411163091659546, 0.12219102680683136]","[0.4150136113166809, 0.3664069175720215, 0.331602543592453]"
