# 2Theta  Intensity_Obs  Intensity_Fit  Residual_ObsMinusFit
10.000000 0.020342 0.001726 0.018616
10.010000 0.014448 0.001745 0.012703
10.020000 0.008987 0.001766 0.007221
10.030000 0.024863 0.001789 0.023074
10.040000 0.006355 0.001816 0.004540
10.050000 0.018759 0.001845 0.016914
10.060000 0.017232 0.001877 0.015356
10.070000 0.020059 0.001912 0.018148
10.080000 0.016366 0.001950 0.014416
10.090000 0.023120 0.001992 0.021128
10.100000 0.013334 0.002038 0.011297
10.110000 0.023143 0.002088 0.021055
10.120000 0.018582 0.002142 0.016441
10.130000 0.023614 0.002201 0.021414
10.140000 0.015581 0.002265 0.013316
10.150000 0.005373 0.002334 0.003039
10.160000 0.021286 0.002410 0.018875
10.170000 0.027630 0.002493 0.025138
10.180000 0.026570 0.002582 0.023987
10.190000 0.028996 0.002680 0.026316
10.200000 0.020106 0.002786 0.017320
10.210000 0.021231 0.002903 0.018329
10.220000 0.026713 0.003030 0.023683
10.230000 0.023926 0.003169 0.020757
10.240000 0.033330 0.003321 0.030008
10.250000 0.022715 0.003488 0.019227
10.260000 0.030814 0.003673 0.027141
10.270000 0.041536 0.003876 0.037660
10.280000 0.030046 0.004101 0.025946
10.290000 0.026839 0.004350 0.022489
10.300000 0.027113 0.004627 0.022486
10.310000 0.051340 0.004937 0.046404
10.320000 0.040294 0.005283 0.035011
10.330000 0.039713 0.005672 0.034040
10.340000 0.063064 0.006112 0.056953
10.350000 0.050729 0.006610 0.044120
10.360000 0.068428 0.007178 0.061250
10.370000 0.080049 0.007831 0.072218
10.380000 0.089038 0.008593 0.080445
10.390000 0.090644 0.009499 0.081146
10.400000 0.119234 0.010618 0.108615
10.410000 0.124326 0.012087 0.112239
10.420000 0.132893 0.014169 0.118724
10.430000 0.136689 0.017374 0.119315
10.440000 0.181825 0.022621 0.159204
10.450000 0.190846 0.031469 0.159378
10.460000 0.234245 0.046345 0.187901
10.470000 0.238916 0.070684 0.168232
10.480000 0.284061 0.108819 0.175242
10.490000 0.323999 0.165431 0.158569
10.500000 0.350427 0.244474 0.105953
10.510000 0.460026 0.347641 0.112385
10.520000 0.577882 0.472686 0.105196
10.530000 0.610426 0.612135 -0.001709
10.540000 0.708260 0.752914 -0.044653
10.550000 0.870978 0.877389 -0.006411
10.560000 0.920927 0.966344 -0.045416
10.570000 0.998319 1.004030 -0.005711
10.580000 0.982969 0.983532 -0.000562
10.590000 0.877951 0.909131 -0.031181
10.600000 0.752461 0.794384 -0.041924
10.610000 0.637433 0.657595 -0.020162
10.620000 0.460139 0.516957 -0.056817
10.630000 0.339890 0.386980 -0.047090
10.640000 0.229209 0.276818 -0.047609
10.650000 0.167736 0.190231 -0.022495
10.660000 0.141952 0.126649 0.015303
10.670000 0.059586 0.082763 -0.023178
10.680000 0.055573 0.054099 0.001473
10.690000 0.045478 0.036225 0.009253
10.700000 0.042339 0.025442 0.016896
